date,volume,open,close,high,low
11:34,"47,87,699",264.5,270.49,273.88,262.24
15-10-2018,6189026,259.06,259.59,263.28,254.5367
12-10-2018,7189257,261,258.78,261.99,252.01
11-10-2018,8128184,257.53,252.23,262.25,249.03
10-10-2018,12781560,264.61,256.88,265.51,247.77
09-10-2018,12037780,255.25,262.8,266.77,253.3
08-10-2018,13371180,264.52,250.56,267.7599,249
05-10-2018,17900710,274.65,261.95,274.88,260
04-10-2018,9638885,293.95,281.83,294,277.67
03-10-2018,7982272,303.33,294.8,304.6,291.57
02-10-2018,11699690,313.95,301.02,316.84,299.15
01-10-2018,21714210,305.77,310.7,311.44,301.05
28-09-2018,33597290,270.26,264.77,278,260.555
27-09-2018,7337760,312.9,307.52,314.96,306.91
26-09-2018,7835863,301.91,309.58,313.89,301.1093
25-09-2018,4472287,300,300.99,304.6,296.5
24-09-2018,4834384,298.48,299.68,302.9993,293.58
21-09-2018,5038497,297.7,299.1,300.58,295.37
20-09-2018,7332477,303.56,298.33,305.98,293.33
19-09-2018,8264353,280.51,299.02,300,280.5
18-09-2018,16494280,296.69,284.96,302.64,275.5
17-09-2018,6866208,290.04,294.84,300.87,288.13
14-09-2018,6757652,288.76,295.2,297.3256,286.52
13-09-2018,6333281,288.02,289.46,295,285.18
12-09-2018,10002150,281.44,290.54,292.5,278.6463
11-09-2018,9161061,279.47,279.44,282,273.55
10-09-2018,14232250,273.26,285.5,286.03,271
07-09-2018,22442310,260.1,263.24,268.35,252.2548
06-09-2018,7472756,284.8,280.95,291.17,278.88
05-09-2018,7707342,285.05,280.74,286.78,277.18
04-09-2018,8304571,296.94,288.95,298.19,288
31-08-2018,5367048,302,301.66,305.3082,298.6
30-08-2018,7210625,302.26,303.15,304.6,297.72
29-08-2018,7410538,310.27,305.01,311.85,303.69
28-08-2018,7639453,318.41,311.86,318.88,311.19
27-08-2018,13062650,318,319.27,322.435,308.81
24-08-2018,3592734,320.7,322.82,323.85,319.4
23-08-2018,5138685,319.14,320.1,327.32,318.1
22-08-2018,5935853,320.87,321.64,323.88,314.67
21-08-2018,13147770,310.61,321.9,324.79,309
20-08-2018,17380430,291.704,308.44,308.5,288.2
17-08-2018,18895880,323.5,305.5,326.77,303.53
16-08-2018,6045392,339.91,335.45,342.28,333.82
15-08-2018,9073033,341.906,338.69,344.49,332.14
14-08-2018,6948511,358.45,347.64,359.1995,347.1
13-08-2018,10444920,361.13,356.41,363.19,349.02
10-08-2018,11530510,354,355.49,360,346
09-08-2018,16951800,365.55,352.45,367.01,345.73
08-08-2018,24535420,369.09,370.34,382.64,367.12
07-08-2018,30596400,343.84,379.57,387.46,339.1501
06-08-2018,8536766,345.46,341.99,354.98,341.82
03-08-2018,13646640,347.81,348.17,355,342.53
02-08-2018,23159160,328.44,349.54,349.99,323.16
01-08-2018,8768099,297.99,300.84,303,293
31-07-2018,5055094,292.25,298.14,298.32,289.07
30-07-2018,6799581,295.9,290.17,296.1,286.13
27-07-2018,5694690,307.25,297.18,307.6933,295.3404
26-07-2018,4619567,304.85,306.65,310.7,303.6411
25-07-2018,7031382,296.74,308.74,309.62,294.5025
24-07-2018,9586186,304.4209,297.43,307.7171,292.5452
23-07-2018,10974820,301.84,303.2,305.5,292.8601
20-07-2018,5159831,321.23,313.58,323.24,311.7093
19-07-2018,5907116,316.33,320.23,323.54,314.01
18-07-2018,5610085,325,323.85,325.5,316.25
17-07-2018,6987782,308.81,322.69,324.74,308.5
16-07-2018,7800454,311.71,310.1,315.16,306.25
13-07-2018,5866776,315.58,318.87,319.5849,309.25
12-07-2018,5711851,321.43,316.71,323.23,312.77
11-07-2018,4878595,315.8,318.96,321.94,315.07
10-07-2018,9437557,324.56,322.47,327.6771,319.2
09-07-2018,7579541,311.99,318.51,318.52,308
06-07-2018,8860198,304.955,308.9,312.07,302
05-07-2018,17457570,313.76,309.16,314.39,296.22
03-07-2018,12282640,331.75,310.86,332.49,309.69
02-07-2018,18732710,360.07,335.07,364.78,329.85
29-06-2018,6475903,353.33,342.95,353.86,342.41
28-06-2018,8388172,348.66,349.93,357.02,346.11
27-06-2018,8313817,345,344.5,350.79,339.5
26-06-2018,7434749,336.054,342,343.55,325.799
25-06-2018,6925089,330.12,333.01,338.47,327.5
22-06-2018,10253770,351.54,333.63,352.25,332
21-06-2018,7949846,362,347.51,366.2139,346.27
20-06-2018,8370268,358.04,362.22,364.38,352
19-06-2018,12734840,365.16,352.55,370,346.25
18-06-2018,12025450,355.4,370.83,373.73,354.5
15-06-2018,10827560,353.84,358.17,364.67,351.25
14-06-2018,10961150,347.63,357.72,358.75,346.6
13-06-2018,9401467,346.706,344.78,347.2,339.8
12-06-2018,22256430,344.7,342.77,354.97,338
11-06-2018,13166050,322.51,332.1,334.66,322.5
08-06-2018,8192175,319,317.66,324.48,317.15
07-06-2018,14336110,316.15,316.09,330,313.58
06-06-2018,18742400,300.5,319.5,322.17,297.48
05-06-2018,5877873,297.7,291.13,297.8,286.74
04-06-2018,4793787,294.34,296.74,299,293.548
01-06-2018,5417984,285.86,291.82,291.95,283.839
31-05-2018,5912825,287.21,284.73,290.37,282.93
30-05-2018,7473590,283.29,291.72,295.005,281.6
29-05-2018,5657153,278.51,283.76,286.5,276.15
25-05-2018,3872621,277.625,278.85,279.64,275.61
24-05-2018,4170789,278.4,277.85,281.11,274.89
23-05-2018,5972237,277.76,279.07,279.9099,274
22-05-2018,8938501,287.762,275.01,288,273.422
21-05-2018,9167844,281.33,284.49,291.49,281.3
18-05-2018,7243699,284.65,276.82,284.65,274
17-05-2018,4418258,285.9,284.54,289.1873,283.97
16-05-2018,5669644,283.83,286.48,288.81,281.56
15-05-2018,9509753,285.01,284.18,286.96,280.5
14-05-2018,7265501,303.32,291.97,304.94,291.62
